Ticker,Shares
CNR,176.05634039296353
EQIX,3.0161994061268316
OGN,68.71016213400746
SBUX,21.848064341376006
NVDA,10.114496170733485
WELL,31.306152927805535
RY,233.5139227545521
MSFT,16.152809680880463
AAPL,33.53400040423371
NKE,30.52689544510362
BIO,32.33525087054927
REGN,25.331418359464948
SHOP,3.6664956948215224
